text,label,text_length
Paviguibtenga,village,13
Sambsin-Peulh,village,13
Ourgou-Manega,village,13
Barthiebougou,village,13
Kaibo-NORD V1,village,13
Koukinkouilga,village,13
Seno-Bonsnore,village,13
Timboura-Lobi,village,13
Coumpougoubie,village,13
Gonboussougou,village,13
Nabaziniguima,village,13
Gombo-Bourfou,village,13
Gassin-Sirgui,village,13
Felenga-Fulbe,village,13
Mogande-Peulh,village,13
Bongola-Mossi,village,13
Mara-Gnan-Wan,village,13
Kabrikogagogo,village,13
Tanghin-Baogo,village,13
Toeguin-Yarce,village,13
Passem-Noguin,village,13
Sampogretinga,village,13
Toeguin-Mossi,village,13
Sassaka-Mossi,village,13
Kougri-Koulga,village,13
Selnore-Fulbe,village,13
Bissiga-Yarce,village,13
Banga-Corabie,village,13
Bisnogo-Peulh,village,13
Bendogo-Peulh,village,13
Boussinrabogo,village,13
Bedogo-Nabiga,village,13
Konde-Tangaye,village,13
Sare-De-Tuili,village,13
Kodjo-Sambour,village,13
Koumna-Koudgo,village,13
Kandega-Mossi,village,13
Yerifoula-Gan,village,13
Bissiga-Peulh,village,13
Pougnerkougri,village,13
Karangtanghin,village,13
Kononga-Peulh,village,13
Ouele-Ouelena,village,13
Ballerebie Ii,village,13
Tooguin-Peulh,village,13
Sassaka-Fulbe,village,13
Toesse-Koulba,village,13
Soumouo-Yobra,village,13
Taliere-Ikori,village,13
Ouayalghin V7,village,13
Ouayalghin V8,village,13
Ouayalghin V9,village,13
Zomnogo-Peulh,village,13
Berenga-Mossi,village,13
Tiogo-Mouhoun,village,13
Tenado-CENTRE,village,13
Tiabien-Kasso,village,13
Sounkpourouna,village,13
Sanogho-Peulh,village,13
Zomnogo-Mossi,village,13
Baouiga-Yorgo,village,13
Tanghin-Wobdo,village,13
Belemboulghin,village,13
Kasseba-Mossi,village,13
Riguimtanguin,village,13
Tanguin-Peulh,village,13
Ouayalghin V6,village,13
Ouayalghin V5,village,13
Ouayalghin V4,village,13
Kaibo-NORD V4,village,13
Kaya-Kantiolo,village,13
Taliere-Sawar,village,13
Rondoma-Mossi,village,13
Waraba-Zinkar,village,13
Gbangbadoteon,village,13
Naradabaganga,village,13
Polla-Birifor,village,13
Kaibo-NORD V3,village,13
Ouayalghin V3,village,13
Kaibo-NORD V2,village,13
Nabiraogtenga,village,13
Fassaladougou,village,13
Tontonlombora,village,13
Ouayalghin V1,village,13
Dankana-Ipala,village,13
Ouayalghin V2,village,13
Sanrgho-Peulh,village,13
Kiougou-Doure,village,13
Nabnong-Zougo,village,13
Bangassi-Illa,village,13
Orkopouo-Gane,village,13
Niaogho-Peulh,village,13
Bosseye-Etage,village,13
Charam-Charam,village,13
Tansobentinga,village,13
Debere-Nangue,village,13
Debere-Doumam,village,13
Biligrimtenga,village,13
Djide-N'darga,village,13
Essakane-Site,village,13
village de Ta,village,13
Zoungou-Peulh,village,13
Kirgou-Gourma,village,13
Soukoundougou,village,13
Mederin-Peulh,village,13
Ourgou-Manéga,departement,13
Tampiendioaga,village,13
Banamba-Ipiel,village,13
Pindie-Badara,village,13
Mebar-Birifor,village,13
Tapoa-Barrage,village,13
Koriba-Kekene,village,13
Tansega-Bokin,village,13
Nienega-Mossi,village,13
Tangand-Tenga,village,13
Hogga-Samboel,village,13
Dougoumato Ii,village,13
Lalgaye-Yarce,village,13
Soumorodougou,village,13
Pempendiangou,village,13
Makognadougou,village,13
Banamba-Sesso,village,13
Gombeledougou,village,13
Kontaga-Peulh,village,13
Bangassi-Bobo,village,13
Koriba-Tanzou,village,13
Hello-Gbakono,village,13
Bonko-Dagbola,village,13
Iklan-Oudalan,village,13
Porogo-Foulbe,village,13
Kankanfogouol,village,13
Sousse-Sanrgo,village,13
Tanyoko-Mossi,village,13
Tanyoko-Peulh,village,13
Bantouankpera,village,13
Hauts-Bassins,region,13
Kindi-Koumbou,village,13
Gnabtankoagou,village,13
Moussoumourou,village,13
Woulmassoutou,village,13
Sarmassi-Lobi,village,13
Sourkoudougou,village,13
Denissa-Mossi,village,13
Denissa-Marka,village,13
Foula-Nabdogo,village,13
Gossiamandara,village,13
Sassema-Peulh,village,13
Gorkassinghin,village,13
Dionsera-Lobi,village,13
Belegagnangue,village,13
Tambourbangou,village,13
Tampoussoumdi,village,13
Kombori-Koura,village,13
Bawe-Binimbom,village,13
Youngou-Peulh,village,13
Kourityaoghin,village,13
Zandkom-Peulh,village,13
Gouindougouba,village,13
Gouindougouni,village,13
Boulmontougou,village,13
Foni-Boronkin,village,13
Debere-Talata,village,13
Banaorodougou,village,13
Toeghin-Peulh,village,13
Petalkoulerou,village,13
village de Me,village,13
Nagueledougou,village,13
Singa-Rimaibe,village,13
Donko-Tambili,village,13
Saint-Camille,village,13
village de Sa,village,13
Koughin-Peulh,village,13
Ouidnongtenga,village,13
Bombontiangou,village,13
village de Se,village,13
Gomboussougou,departement,13
Dorossiamasso,village,13
Gorouol-Kolle,village,13
Malenga-Yarce,village,13
Nébiélianayou,departement,13
Koubeo-Djoulo,village,13
Samou-Gabondi,village,13
Loagha-Foulbe,village,13
Gongontianoao,village,13
Bachicorepoun,village,13
Fitiguidiassa,village,13
Babirka-Mango,village,13
Kokoaga-Ouest,village,13
Sangou-Nazela,village,13
Sangboulotira,village,13
Diamboanyouli,village,13
Bick-Baskoure,village,13
Pergbalembiro,village,13
Donsene-Yarce,village,13
Fada N’Gourma,departement,13
Dain-Maissara,village,13
Mantiabdjoaga,village,13
Digatao-Mossi,village,13
Tanpouy-Yarce,village,13
Boulgou-Peulh,village,13
Kamankadougou,village,13
Toulgou-Yarce,village,13
Tansobentenga,departement,13
Diapouadougou,village,13
Doundoubangou,village,13
Konkin-Foulgo,village,13
Poni-Kienkire,village,13
Bapla-Birifor,village,13
Kalagre-Mossi,village,13
Tourgoumtenga,village,13
Bangassi-Koro,village,13
Rabouglitenga,village,13
Doundoudougou,village,13
Tobo-Weleteon,village,13
Wigayatoulaye,village,13
Peta-Kakisgou,village,13
Ouedogo-Peulh,village,13
Tensobentenga,departement,13
Banakeledaga,village,12
Gourkpe-Soum,village,12
Siguinvousse,village,12
Kourba-Bagre,village,12
Bouemvouhoun,village,12
Kounga-Mossi,village,12
Guiguemtenga,village,12
Kounga-Peulh,village,12
Koupel-Yargo,village,12
Bankartougou,village,12
Burkina Faso,country,12
Burkina-Faso,country,12
Kougrissince,village,12
Dioro-Folgou,village,12
Diarradougou,village,12
Lengha-Peulh,village,12
Kougoussoula,village,12
Tchontchonga,village,12
Ouidin-Waffe,village,12
Konvougoudou,village,12
Nagnoundigou,village,12
Ballerebie I,village,12
Kamsaontinga,village,12
Saborga-Pera,village,12
Belemgnoubli,village,12
Saborga-Kori,village,12
Tiguindalgue,village,12
Pobouatouoga,village,12
Wobzougou Ii,village,12
Liguiditenga,village,12
Pognin-Konli,village,12
Pogoro-Mossi,village,12
Malampoupera,village,12
Bouskoudougo,village,12
Kirgou-Peulh,village,12
Centre-Ouest,region,12
Nonkondougou,village,12
Paagou-Peulh,village,12
Diarra-Peuhl,village,12
Gontiedougou,village,12
Baoudoumboin,village,12
Bartiébougou,departement,12
Zanghingesse,village,12
Gourel-Niebe,village,12
Diarakorosso,village,12
Moussodougou,departement,12
Louloubtenga,village,12
Belemkangrin,village,12
Bérégadougou,departement,12
Guelwongo Ii,village,12
Wouskossogho,village,12
Toussiamasso,village,12
Langue-Peulh,village,12
Sidéradougou,departement,12
Banfoulagoue,village,12
Samaradougou,village,12
Lossa-Foulbe,village,12
Amne-Rimaibe,village,12
Koubi-Todiam,village,12
Nerfindougou,village,12
Namissiguima,departement,12
Kossougoudou,village,12
Moussodougou,village,12
Leoura-Gorga,village,12
Namountergou,village,12
Benya-Kipala,village,12
Rassamtounde,village,12
Bandinkoalla,village,12
Kond-Koankin,village,12
Guip-Koudogo,village,12
Gombousougou,departement,12
Kasseba-Samo,village,12
Kindzeonguin,village,12
Soungalodaga,village,12
Niorgo-Yanga,village,12
Kpenkankanti,village,12
Serefedougou,village,12
Sogossagasso,village,12
Beregadougou,village,12
Kaya-Poungou,village,12
Boussanra Ii,village,12
Sag-Nioniogo,village,12
Tiontionmana,village,12
Dramandougou,village,12
Napanboumbou,village,12
Kangounadeni,village,12
Boussoukoula,departement,12
Younga-Peulh,village,12
Nablo-Diassa,village,12
Idenia-Tanga,village,12
Bakaribougou,village,12
Sabaribougou,village,12
Tapoa-Djerma,village,12
Sindoukoroni,village,12
Otiabragouni,village,12
Dougoumato I,village,12
Welguemsifou,village,12
Tanwalbougou,village,12
Koueredougou,village,12
Koumbadougou,village,12
Sideradougou,village,12
Tiefindougou,village,12
Guimbissenao,village,12
Gombre-Saaba,village,12
Niampedougou,village,12
Moussabougou,village,12
Gonsin-Mossi,village,12
Segue-Foulgo,village,12
Falangountou,departement,12
Boussoukoula,village,12
Silom-Dabori,village,12
Kissirigouem,village,12
Belembaonhin,village,12
Tiebon-Dimbo,village,12
Nakamtenga 1,village,12
Nakamtenga 2,village,12
Koulantionao,village,12
Pilaga-Peulh,village,12
Tampougtenga,village,12
Gotakpoulala,village,12
Gongontionao,village,12
Dayagretenga,village,12
Kiemna-Yarce,village,12
Villy-Ronsin,village,12
Nioniopalogo,village,12
Villy-Ralmou,village,12
Gbangbankora,village,12
Ouintokoulga,village,12
Dolo-Toundia,village,12
Tizilinziogo,village,12
Bokin-Koudgo,village,12
Roumba-Mossi,village,12
Roumba-Yarce,village,12
Sapaga-Peulh,village,12
Yourkoudghin,village,12
Yougoulmande,village,12
Sangha-Yarce,village,12
Tamesweoghin,village,12
Laongo-Yanga,village,12
Banguel-Daou,village,12
Nabliliessan,village,12
Tegou-Ladiel,village,12
Biliga-Mossi,village,12
Koin-Tansien,village,12
Sogodjankoli,village,12
Tamiga-Fulbe,village,12
Tinkakperera,village,12
Kogossablogo,village,12
Teri-Rimaibe,village,12
Kabega-Peulh,village,12
Tamiga-Mossi,village,12
Laongo-Taore,village,12
Sangboulanti,village,12
Polla-Kampti,village,12
Nouonkpalala,village,12
Kom-Kom-Yiri,village,12
Sidigo-Yarce,village,12
Yargo-Yarces,village,12
Kacham-Ouest,village,12
Kirguilounga,village,12
Dassimpouigo,village,12
Danfi-Dagara,village,12
Oualogotenga,village,12
Barkoundouba,village,12
Kaleboukoura,village,12
Sarmassi-Gan,village,12
Kindi-CENTRE,village,12
Sangha-Peulh,village,12
Gourcy-Tenga,village,12
Zoura-Foulbe,village,12
Darounkayrou,village,12
Houkoulourou,village,12
Bayendfoulgo,village,12
Sorgho-Peulh,village,12
Bellare-Maga,village,12
Kolonkani-Ba,village,12
Sinthyorokuy,village,12
Gboulougnora,village,12
Ouro-Baagabe,village,12
Sakou-Foulbe,village,12
Boinkoubouga,village,12
Sanakadougou,village,12
Dar-Es-Salam,village,12
